Category,Organisms,Year,Source
eco,Escherichia coli K-12 MG1655,1997,RefSeq
ecj,Escherichia coli K-12 W3110,2001,GenBank
ecd,Escherichia coli K-12 DH10B,2008,GenBank
ebw,Escherichia coli K-12 MC4100(MuLac) BW2952,2009,RefSeq
ecok,Escherichia coli K-12 MDS42,2013,GenBank
ece,Escherichia coli O157:H7 EDL933 (EHEC),2001,RefSeq
ecs,Escherichia coli O157:H7 Sakai (EHEC),2001,RefSeq
ecf,Escherichia coli O157:H7 EC4115 (EHEC),2008,GenBank
etw,Escherichia coli O157:H7 TW14359 (EHEC),2009,RefSeq
elx,Escherichia coli O157:H7 Xuzhou21 (EHEC),2012,GenBank
eoj,Escherichia coli O26:H11 11368 (EHEC),2009,RefSeq
eoi,Escherichia coli O111:H- 11128 (EHEC),2009,RefSeq
eoh,Escherichia coli O103:H2 12009 (EHEC),2009,RefSeq
ecg,Escherichia coli O127:H6 E2348/69 (EPEC),2008,GenBank
eok,Escherichia coli O55:H7 CB9615 (EPEC),2010,GenBank
elr,Escherichia coli O55:H7 RM12579 (EPEC),2012,GenBank
ecc,Escherichia coli O6:K2:H1 CFT073 (UPEC),2002,RefSeq
ecp,Escherichia coli O6:K15:H31 536 (UPEC),2006,RefSeq
eci,Escherichia coli O18:K1:H7 UTI89 (UPEC),2006,RefSeq
ecv,Escherichia coli APEC O1 (APEC),2006,RefSeq
ecx,Escherichia coli O9 HS (commensal),2007,GenBank
ecw,Escherichia coli E24377A (ETEC),2007,RefSeq
ecm,Escherichia coli SMS-3-5 (environmental),2008,RefSeq
ecy,Escherichia coli O152:H28 SE11 (commensal),2008,GenBank
ecr,Escherichia coli O8 IAI1 (commensal),2009,GenBank
ecq,Escherichia coli O81 ED1a (commensal),2009,GenBank
eck,Escherichia coli 55989 (EAEC),2009,GenBank
ect,Escherichia coli O7:K1 IAI39 (ExPEC),2009,RefSeq
eoc,Escherichia coli O7:K1 CE10,2012,RefSeq
eum,Escherichia coli O17:K52:H18 UMN026 (ExPEC),2009,RefSeq
ecz,Escherichia coli O45:K1:H7 S88 (ExPEC),2009,GenBank
elo,Escherichia coli O44:H18 042 (EAEC),2012,GenBank
eln,Escherichia coli O83:H1 NRG 857C,2012,RefSeq
elh,Escherichia coli O78:H11:K80 H10407 (ETEC),2012,GenBank
ese,Escherichia coli O150:H5 SE15 (commensal),2012,RefSeq
eso,Escherichia coli O104:H4 2009EL-2071,2012,GenBank
esm,Escherichia coli O104:H4 2009EL-2050,2012,GenBank
esl,Escherichia coli O104:H4 2011C-3493,2012,RefSeq
ecl,Escherichia coli ATCC 8739,2008,GenBank
ebr,Escherichia coli B REL606,2009,GenBank
ebd,Escherichia coli BL21-Gold(DE3)pLysS AG,2009,GenBank
eko,Escherichia coli KO11FL,2012,RefSeq
ekf,Escherichia coli KO11FL,2012,GenBank
eab,Escherichia coli ABU 83972,2012,RefSeq
edh,Escherichia coli DH1,2012,RefSeq
edj,Escherichia coli DH1,2012,GenBank
eih,Escherichia coli IHE3034,2012,RefSeq
ena,Escherichia coli NA114 (UPEC),2012,RefSeq
elu,Escherichia coli UM146,2012,RefSeq
eun,Escherichia coli UMNK88,2012,RefSeq
elw,Escherichia coli W,2012,RefSeq
ell,Escherichia coli W,2012,RefSeq
elc,Escherichia coli clone D i14,2012,RefSeq
eld,Escherichia coli clone D i2,2012,RefSeq
elp,Escherichia coli P12b,2012,GenBank
