"ID","CLASS","SUBCLASS","FUNCTION"
"path:map01100","Metabolism","   Global and overview maps","Metabolic pathways"
"path:map01110","Metabolism","   Global and overview maps","Biosynthesis of secondary metabolites"
"path:map01120","Metabolism","   Global and overview maps","Microbial metabolism in diverse environments"
"path:map01130","Metabolism","   Global and overview maps","Biosynthesis of antibiotics"
"path:map01200","Metabolism","   Global and overview maps","Carbon metabolism"
"path:map01210","Metabolism","   Global and overview maps","2-Oxocarboxylic acid metabolism"
"path:map01212","Metabolism","   Global and overview maps","Fatty acid metabolism"
"path:map01230","Metabolism","   Global and overview maps","Biosynthesis of amino acids"
"path:map01220","Metabolism","   Global and overview maps","Degradation of aromatic compounds"
"path:map00010","Metabolism","   Carbohydrate metabolism","Glycolysis / Gluconeogenesis"
"path:map00020","Metabolism","   Carbohydrate metabolism","Citrate cycle (TCA cycle)"
"path:map00030","Metabolism","   Carbohydrate metabolism","Pentose phosphate pathway"
"path:map00040","Metabolism","   Carbohydrate metabolism","Pentose and glucuronate interconversions"
"path:map00051","Metabolism","   Carbohydrate metabolism","Fructose and mannose metabolism"
"path:map00052","Metabolism","   Carbohydrate metabolism","Galactose metabolism"
"path:map00053","Metabolism","   Carbohydrate metabolism","Ascorbate and aldarate metabolism"
"path:map00500","Metabolism","   Carbohydrate metabolism","Starch and sucrose metabolism"
"path:map00520","Metabolism","   Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism"
"path:map00620","Metabolism","   Carbohydrate metabolism","Pyruvate metabolism"
"path:map00630","Metabolism","   Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism"
"path:map00640","Metabolism","   Carbohydrate metabolism","Propanoate metabolism"
"path:map00650","Metabolism","   Carbohydrate metabolism","Butanoate metabolism"
"path:map00660","Metabolism","   Carbohydrate metabolism","C5-Branched dibasic acid metabolism"
"path:map00562","Metabolism","   Carbohydrate metabolism","Inositol phosphate metabolism"
"path:map00190","Metabolism","   Energy metabolism","Oxidative phosphorylation"
"path:map00195","Metabolism","   Energy metabolism","Photosynthesis"
"path:map00196","Metabolism","   Energy metabolism","Photosynthesis - antenna proteins"
"path:map00710","Metabolism","   Energy metabolism","Carbon fixation in photosynthetic organisms"
"path:map00720","Metabolism","   Energy metabolism","Carbon fixation pathways in prokaryotes"
"path:map00680","Metabolism","   Energy metabolism","Methane metabolism"
"path:map00910","Metabolism","   Energy metabolism","Nitrogen metabolism"
"path:map00920","Metabolism","   Energy metabolism","Sulfur metabolism"
"path:map00061","Metabolism","   Lipid metabolism","Fatty acid biosynthesis"
"path:map00062","Metabolism","   Lipid metabolism","Fatty acid elongation"
"path:map00071","Metabolism","   Lipid metabolism","Fatty acid degradation"
"path:map00072","Metabolism","   Lipid metabolism","Synthesis and degradation of ketone bodies"
"path:map00073","Metabolism","   Lipid metabolism","Cutin, suberine and wax biosynthesis"
"path:map00100","Metabolism","   Lipid metabolism","Steroid biosynthesis"
"path:map00120","Metabolism","   Lipid metabolism","Primary bile acid biosynthesis"
"path:map00121","Metabolism","   Lipid metabolism","Secondary bile acid biosynthesis"
"path:map00140","Metabolism","   Lipid metabolism","Steroid hormone biosynthesis"
"path:map00561","Metabolism","   Lipid metabolism","Glycerolipid metabolism"
"path:map00564","Metabolism","   Lipid metabolism","Glycerophospholipid metabolism"
"path:map00565","Metabolism","   Lipid metabolism","Ether lipid metabolism"
"path:map00600","Metabolism","   Lipid metabolism","Sphingolipid metabolism"
"path:map00590","Metabolism","   Lipid metabolism","Arachidonic acid metabolism"
"path:map00591","Metabolism","   Lipid metabolism","Linoleic acid metabolism"
"path:map00592","Metabolism","   Lipid metabolism","alpha-Linolenic acid metabolism"
"path:map01040","Metabolism","   Lipid metabolism","Biosynthesis of unsaturated fatty acids"
"path:map00230","Metabolism","   Nucleotide metabolism","Purine metabolism"
"path:map00240","Metabolism","   Nucleotide metabolism","Pyrimidine metabolism"
"path:map00250","Metabolism","   Amino acid metabolism","Alanine, aspartate and glutamate metabolism"
"path:map00260","Metabolism","   Amino acid metabolism","Glycine, serine and threonine metabolism"
"path:map00270","Metabolism","   Amino acid metabolism","Cysteine and methionine metabolism"
"path:map00280","Metabolism","   Amino acid metabolism","Valine, leucine and isoleucine degradation"
"path:map00290","Metabolism","   Amino acid metabolism","Valine, leucine and isoleucine biosynthesis"
